city,year,abuja_temp,global_temp,abuja_moving_avg,global_moving_avg
Abuja,1856,26.93,8,0,0
Abuja,1857,24.67,7.76,0,0
Abuja,1858,25.87,8.1,0,0
Abuja,1859,25.31,8.25,0,0
Abuja,1860,25.52,7.96,0,0
Abuja,1861,25.56,7.85,0,0
Abuja,1862,26.94,7.56,25.83,7.925714286
Abuja,1863,0,8.11,21.98,7.941428571
Abuja,1864,0,7.98,18.46,7.972857143
Abuja,1865,0,8.18,14.76,7.984285714
Abuja,1866,0,8.29,11.15,7.99
Abuja,1867,0,8.44,7.50,8.058571429
Abuja,1868,0,8.25,3.85,8.115714286
Abuja,1869,0,8.43,0.00,8.24
Abuja,1870,0,8.2,0.00,8.252857143
Abuja,1871,0,8.12,0.00,8.272857143
Abuja,1872,0,8.19,0.00,8.274285714
Abuja,1873,25.77,8.35,3.68,8.282857143
Abuja,1874,25.8,8.43,7.37,8.281428571
Abuja,1875,25.42,7.86,11.00,8.225714286
Abuja,1876,25.72,8.08,14.67,8.175714286
Abuja,1877,25.97,8.54,18.38,8.224285714
Abuja,1878,25.98,8.83,22.09,8.325714286
Abuja,1879,25.36,8.17,25.72,8.322857143
Abuja,1880,25.6,8.12,25.69,8.29
Abuja,1881,25.93,8.27,25.71,8.267142857
Abuja,1882,25.58,8.13,25.73,8.305714286
Abuja,1883,25.9,7.98,25.76,8.291428571
Abuja,1884,26.07,7.77,25.77,8.181428571
Abuja,1885,24.84,7.92,25.61,8.051428571
Abuja,1886,25.38,7.95,25.61,8.02
Abuja,1887,24.82,7.91,25.50,7.99
Abuja,1888,25.15,8.09,25.39,7.964285714
Abuja,1889,25.21,8.32,25.34,7.991428571
Abuja,1890,24.48,7.97,25.14,7.99
Abuja,1891,25.02,8.02,24.99,8.025714286
Abuja,1892,25.21,8.07,25.04,8.047142857
Abuja,1893,25.21,8.06,25.01,8.062857143
Abuja,1894,25.38,8.16,25.09,8.098571429
Abuja,1895,25.58,8.15,25.16,8.107142857
Abuja,1896,25.46,8.21,25.19,8.091428571
Abuja,1897,25.93,8.29,25.40,8.137142857
Abuja,1898,25.43,8.18,25.46,8.16
Abuja,1899,25.83,8.4,25.55,8.207142857
Abuja,1900,25.95,8.5,25.65,8.27
Abuja,1901,25.84,8.54,25.72,8.324285714
Abuja,1902,25.52,8.3,25.71,8.345714286
Abuja,1903,25.5,8.22,25.71,8.347142857
Abuja,1904,25.07,8.09,25.59,8.318571429
Abuja,1905,25.4,8.23,25.59,8.325714286
Abuja,1906,25.63,8.38,25.56,8.322857143
Abuja,1907,25.35,7.95,25.47,8.244285714
Abuja,1908,25.63,8.19,25.44,8.194285714
Abuja,1909,25.86,8.18,25.49,8.177142857
Abuja,1910,25.78,8.22,25.53,8.177142857
Abuja,1911,25.53,8.18,25.60,8.19
Abuja,1912,25.65,8.17,25.63,8.181428571
Abuja,1913,26.21,8.3,25.72,8.17
Abuja,1914,26.37,8.59,25.86,8.261428571
Abuja,1915,26.12,8.59,25.93,8.318571429
Abuja,1916,25.92,8.23,25.94,8.325714286
Abuja,1917,26.64,8.02,26.06,8.297142857
Abuja,1918,25.93,8.13,26.12,8.29
Abuja,1919,26.5,8.38,26.24,8.32
Abuja,1920,25.94,8.36,26.20,8.328571429
Abuja,1921,26.31,8.57,26.19,8.325714286
Abuja,1922,26.36,8.41,26.23,8.3
Abuja,1923,26.11,8.42,26.26,8.327142857
Abuja,1924,26.41,8.51,26.22,8.397142857
Abuja,1925,25.79,8.53,26.20,8.454285714
Abuja,1926,26.48,8.73,26.20,8.504285714
Abuja,1927,26.36,8.52,26.26,8.527142857
Abuja,1928,26.33,8.63,26.26,8.535714286
Abuja,1929,26.09,8.24,26.22,8.511428571
Abuja,1930,26.48,8.63,26.28,8.541428571
Abuja,1931,26.82,8.72,26.34,8.571428571
Abuja,1932,26.25,8.71,26.40,8.597142857
Abuja,1933,26.5,8.34,26.40,8.541428571
Abuja,1934,26.31,8.63,26.40,8.557142857
Abuja,1935,26.47,8.52,26.42,8.541428571
Abuja,1936,26.37,8.55,26.46,8.585714286
Abuja,1937,26.44,8.7,26.45,8.595714286
Abuja,1938,26.63,8.86,26.42,8.615714286
Abuja,1939,26.08,8.76,26.40,8.622857143
Abuja,1940,26.45,8.76,26.39,8.682857143
Abuja,1941,26.99,8.77,26.49,8.702857143
Abuja,1942,26.76,8.73,26.53,8.732857143
Abuja,1943,26.28,8.76,26.52,8.762857143
Abuja,1944,26.48,8.85,26.52,8.784285714
Abuja,1945,26.34,8.58,26.48,8.744285714
Abuja,1946,26.26,8.68,26.51,8.732857143
Abuja,1947,26.6,8.8,26.53,8.738571429
Abuja,1948,26.04,8.75,26.39,8.735714286
Abuja,1949,26.45,8.59,26.35,8.715714286
Abuja,1950,26.21,8.37,26.34,8.66
Abuja,1951,26.2,8.63,26.30,8.628571429
Abuja,1952,26.09,8.64,26.26,8.637142857
Abuja,1953,26.23,8.87,26.26,8.664285714
Abuja,1954,25.95,8.56,26.17,8.63
Abuja,1955,25.91,8.63,26.15,8.612857143
Abuja,1956,25.93,8.28,26.07,8.568571429
Abuja,1957,26.12,8.73,26.06,8.62
Abuja,1958,26.37,8.77,26.09,8.64
Abuja,1959,26.31,8.73,26.12,8.652857143
Abuja,1960,26.19,8.58,26.11,8.611428571
Abuja,1961,25.93,8.8,26.11,8.645714286
Abuja,1962,26.05,8.75,26.13,8.662857143
Abuja,1963,26.49,8.86,26.21,8.745714286
Abuja,1964,26.08,8.41,26.20,8.7
Abuja,1965,26.19,8.53,26.18,8.665714286
Abuja,1966,26.22,8.6,26.16,8.647142857
Abuja,1967,26.01,8.7,26.14,8.664285714
Abuja,1968,26.29,8.52,26.19,8.624285714
Abuja,1969,26.47,8.6,26.25,8.602857143
Abuja,1970,26.41,8.7,26.24,8.58
Abuja,1971,26.27,8.6,26.27,8.607142857
Abuja,1972,26.09,8.5,26.25,8.602857143
Abuja,1973,26.78,8.95,26.33,8.652857143
Abuja,1974,26.03,8.47,26.33,8.62
Abuja,1975,25.89,8.74,26.28,8.651428571
Abuja,1976,26.17,8.35,26.23,8.615714286
Abuja,1977,26.43,8.85,26.24,8.637142857
Abuja,1978,26.14,8.69,26.22,8.65
Abuja,1979,26.46,8.73,26.27,8.682857143
Abuja,1980,26.41,8.98,26.22,8.687142857
Abuja,1981,26.2,9.17,26.24,8.787142857
Abuja,1982,26.28,8.64,26.30,8.772857143
Abuja,1983,26.49,9.03,26.34,8.87
Abuja,1984,26.41,8.69,26.34,8.847142857
Abuja,1985,26.32,8.66,26.37,8.842857143
Abuja,1986,26.38,8.83,26.36,8.857142857
Abuja,1987,27.06,8.99,26.45,8.858571429
Abuja,1988,26.49,9.2,26.49,8.862857143
Abuja,1989,25.82,8.92,26.42,8.902857143
Abuja,1990,26.74,9.23,26.46,8.931428571
Abuja,1991,26.39,9.18,26.46,9.001428571
Abuja,1992,26.08,8.84,26.42,9.027142857
Abuja,1993,26.44,8.87,26.43,9.032857143
Abuja,1994,26.18,9.04,26.31,9.04
Abuja,1995,26.62,9.35,26.32,9.061428571
Abuja,1996,26.58,9.04,26.43,9.078571429
Abuja,1997,26.48,9.2,26.40,9.074285714
Abuja,1998,27.04,9.52,26.49,9.122857143
Abuja,1999,26.85,9.29,26.60,9.187142857
Abuja,2000,26.32,9.2,26.58,9.234285714
Abuja,2001,26.58,9.41,26.64,9.287142857
Abuja,2002,26.95,9.57,26.69,9.318571429
Abuja,2003,26.84,9.53,26.72,9.388571429
Abuja,2004,26.95,9.32,26.79,9.405714286
Abuja,2005,27.09,9.7,26.80,9.431428571
Abuja,2006,27.24,9.53,26.85,9.465714286
Abuja,2007,27.2,9.73,26.98,9.541428571
Abuja,2008,26.75,9.43,27.00,9.544285714
Abuja,2009,27.19,9.51,27.04,9.535714286
Abuja,2010,27.35,9.7,27.11,9.56
Abuja,2011,27.09,9.52,27.13,9.588571429
Abuja,2012,26.93,9.51,27.11,9.561428571
Abuja,2013,27.25,9.61,27.11,9.572857143
,,24.4893038,8.575822785,,
