city,year,warsaw_temp,global_temp,warsaw_moving_average,global_moving_average
Warsaw,1750,8.27,8.72,0,0
Warsaw,1751,8.23,7.98,0,0
Warsaw,1752,2.58,5.78,0,0
Warsaw,1753,7.17,8.39,0,0
Warsaw,1754,7.08,8.47,0,0
Warsaw,1755,6.91,8.36,0,0
Warsaw,1756,7.88,8.85,6.874285714,8.078571429
Warsaw,1757,7.69,9.02,6.791428571,8.121428571
Warsaw,1758,6.26,6.74,6.51,7.944285714
Warsaw,1759,7.33,7.99,7.188571429,8.26
Warsaw,1760,6.9,7.19,7.15,8.088571429
Warsaw,1761,7.8,8.77,7.252857143,8.131428571
Warsaw,1762,7.21,8.61,7.295714286,8.167142857
Warsaw,1763,6.74,7.5,7.132857143,7.974285714
Warsaw,1764,7.59,8.4,7.118571429,7.885714286
Warsaw,1765,7.32,8.25,7.27,8.101428571
Warsaw,1766,7.44,8.41,7.285714286,8.161428571
Warsaw,1767,6.76,8.22,7.265714286,8.308571429
Warsaw,1768,6.22,6.78,7.04,8.024285714
Warsaw,1769,7.01,7.69,7.011428571,7.892857143
Warsaw,1770,7.12,7.69,7.065714286,7.92
Warsaw,1771,6.12,7.85,6.855714286,7.841428571
Warsaw,1772,7.66,8.19,6.904285714,7.832857143
Warsaw,1773,8.13,8.22,7.002857143,7.805714286
Warsaw,1774,7.25,8.77,7.072857143,7.884285714
Warsaw,1775,8.6,9.18,7.412857143,8.227142857
Warsaw,1776,7.06,8.3,7.42,8.314285714
Warsaw,1777,6.84,8.26,7.38,8.395714286
Warsaw,1778,8,8.54,7.648571429,8.494285714
Warsaw,1779,8.67,8.98,7.792857143,8.607142857
Warsaw,1780,7,9.43,7.631428571,8.78
Warsaw,1781,8.08,8.1,7.75,8.684285714
Warsaw,1782,6.77,7.9,7.488571429,8.501428571
Warsaw,1783,7.99,7.68,7.621428571,8.412857143
Warsaw,1784,6.88,7.86,7.627142857,8.355714286
Warsaw,1785,5.64,7.36,7.29,8.187142857
Warsaw,1786,6.16,8.26,6.931428571,8.084285714
Warsaw,1787,7.69,8.03,7.03,7.884285714
Warsaw,1788,6.74,8.45,6.838571429,7.934285714
Warsaw,1789,8.16,8.33,7.037142857,7.995714286
Warsaw,1790,7.67,7.98,6.991428571,8.038571429
Warsaw,1791,8.34,8.23,7.2,8.091428571
Warsaw,1792,7.27,8.09,7.432857143,8.195714286
Warsaw,1793,7.59,8.23,7.637142857,8.191428571
Warsaw,1794,8.19,8.53,7.708571429,8.262857143
Warsaw,1795,7.18,8.35,7.771428571,8.248571429
Warsaw,1796,7.41,8.27,7.664285714,8.24
Warsaw,1797,9.08,8.51,7.865714286,8.315714286
Warsaw,1798,7.98,8.67,7.814285714,8.378571429
Warsaw,1799,5.17,8.51,7.514285714,8.438571429
