city,year,lagos_temp,global_temp,lagos_mov_avg,global_mov_avg,difference_btw_mov_avg,lagos_diff,global_diff,lagos_diff1,global_diff1,diff,,,
Lagos,1849,25.98,7.98,0,0,0,,,,,18,,,
Lagos,1850,25.87,7.9,0,0,0,0,0,-0.11,-0.08,17.97,,,
Lagos,1851,26.1,8.18,0,0,0,0,0,0.23,0.28,17.92,,,
Lagos,1852,0,8.1,0,0,0,0,0,-26.1,-0.08,-8.1,,,
Lagos,1853,0,8.04,0,0,0,0,0,0,-0.06,-8.04,,,
Lagos,1854,0,8.21,0,0,0,0,0,0,0.17,-8.21,,,
Lagos,1855,0,8.11,11.13571429,8.074285714,3.061428571,11.13571429,8.074285714,0,-0.1,-8.11,,,
Lagos,1856,26.35,8,11.18857143,8.077142857,3.111428571,0.052857143,0.002857143,26.35,-0.11,18.35,,,
Lagos,1857,25.45,7.76,11.12857143,8.057142857,3.071428571,-0.06,-0.02,-0.9,-0.24,17.69,,,
Lagos,1858,25.92,8.1,11.10285714,8.045714286,3.057142857,-0.025714286,-0.011428571,0.47,0.34,17.82,,,
Lagos,1859,26.18,8.25,14.84285714,8.067142857,6.775714286,3.74,0.021428571,0.26,0.15,17.93,,,
Lagos,1860,26.01,7.96,18.55857143,8.055714286,10.50285714,3.715714286,-0.011428571,-0.17,-0.29,18.05,,,
Lagos,1861,25.95,7.85,22.26571429,8.004285714,14.26142857,3.707142857,-0.051428571,-0.06,-0.11,18.1,,,
Lagos,1862,25.9,7.56,25.96571429,7.925714286,18.04,3.7,-0.078571429,-0.05,-0.29,18.34,,,
Lagos,1863,0,8.11,22.20142857,7.941428571,14.26,-3.764285714,0.015714286,-25.9,0.55,-8.11,,,
Lagos,1864,0,7.98,18.56571429,7.972857143,10.59285714,-3.635714286,0.031428571,0,-0.13,-7.98,,,
Lagos,1865,0,8.18,14.86285714,7.984285714,6.878571429,-3.702857143,0.011428571,0,0.2,-8.18,,,
Lagos,1866,0,8.29,11.12285714,7.99,3.132857143,-3.74,0.005714286,0,0.11,-8.29,,,
Lagos,1867,0,8.44,7.407142857,8.058571429,-0.651428571,-3.715714286,0.068571429,0,0.15,-8.44,,,
Lagos,1868,0,8.25,3.7,8.115714286,-4.415714286,-3.707142857,0.057142857,0,-0.19,-8.25,,,
Lagos,1869,0,8.43,0,8.24,-8.24,-3.7,0.124285714,0,0.18,-8.43,,,
Lagos,1870,0,8.2,0,8.252857143,-8.252857143,0,0.012857143,0,-0.23,-8.2,,,
